Cell	Celltype	JSD
arnt2.L	Taste cell	0.9981570143799612
arnt2.L	Umbrella cell	0.9959416484766852
arx.L	Acinar cell	0.9978121869974553
arx.L	B cell	0.9999999893313807
arx.L	Chondrocyte	0.9989536221586339
arx.L	Collecting duct intercalated cell	0.9999999893314944
arx.L	Cone photoreceptor	0.9999999893304439
arx.L	Endocrine cell	0.9887928478451773
arx.L	Endothelial cell	0.9999999893279591
arx.L	Eosinophil	0.9988406299832
arx.L	Epidermal stem cell	0.9999999893244469
arx.L	Epithelial cell	0.9983086792526712
arx.L	Erythrocyte	0.9999999893276013
arx.L	Fast skeletal muscle cell	0.8152249069980622
arx.L	Fibroblast	0.9971805741494113
arx.L	Hepatocyte	0.9999999893306812
arx.L	Lens fiber cell	0.9860951600080605
arx.L	Macrophage	0.998191219540666
arx.L	Melanocyte	0.9999999893276329
arx.L	Muscle satellite cell	0.992467422474651
arx.L	Neuron	0.9346573740451227
arx.L	Oligodendrocyte	0.9999999893318658
arx.L	Proximal tubule cell	0.9949895598381092
arx.L	Radial glia	0.9651642538211842
arx.L	Retinal pigment epithelial cell	0.9975420624361786
arx.L	Secretory cell	0.9999999893319234
arx.L	Stromal cell	0.9993727399584835
arx.L	Taste cell	0.9999999893320821
arx.L	Umbrella cell	0.9999999893194664
ascl2.L	Acinar cell	1.0000000070263422
ascl2.L	B cell	1.0000000070269108
ascl2.L	Chondrocyte	1.0000000069914683
ascl2.L	Collecting duct intercalated cell	0.9973682986496479
ascl2.L	Cone photoreceptor	1.000000007025974
ascl2.L	Endocrine cell	1.0000000070261974
ascl2.L	Endothelial cell	1.0000000070234891
ascl2.L	Eosinophil	1.000000007023127
ascl2.L	Epidermal stem cell	0.9019357084698273
ascl2.L	Epithelial cell	0.9704249408869354
ascl2.L	Erythrocyte	0.99849436920599
ascl2.L	Fast skeletal muscle cell	1.0000000070257977
ascl2.L	Fibroblast	0.9985054353439797
ascl2.L	Hepatocyte	1.0000000070262114
ascl2.L	Lens fiber cell	1.0000000070277526
ascl2.L	Macrophage	1.0000000070198927
ascl2.L	Melanocyte	1.0000000070231632
ascl2.L	Muscle satellite cell	0.9992335897315703
ascl2.L	Neuron	1.000000007014394
ascl2.L	Oligodendrocyte	1.000000007027396
ascl2.L	Proximal tubule cell	1.000000007026586
ascl2.L	Radial glia	0.9931451423516346
ascl2.L	Retinal pigment epithelial cell	1.0000000070262207
ascl2.L	Secretory cell	0.9973078629535215
ascl2.L	Stromal cell	1.000000007007645
ascl2.L	Taste cell	0.7455354442014129
ascl2.L	Umbrella cell	0.9957442758690462
atf2.L	Acinar cell	0.9965492165061128
atf2.L	B cell	0.9963485578912068
