Cell	Celltype	JSDR
arnt.L	Endothelial cell	0.012379861034369943
arnt.L	Enterocyte	0.029386619301448702
arnt.L	Eosinophil	0.0055495909971259305
arnt.L	Epidermal stem cell	0.012658779012645782
arnt.L	Epithelial cell	0.02287564575961787
arnt.L	Erythrocyte	0.015756637732895262
arnt.L	Fast skeletal muscle cell	0.008002070715304677
arnt.L	Fibroblast	0.028561441465625337
arnt.L	Hepatocyte	0.004368431208005563
arnt.L	Macrophage	0.021340917491272537
arnt.L	Melanocyte	0.0042765754949692925
arnt.L	Muscle satellite cell	0.01001871939357768
arnt.L	Neuron	0.0040150185448663
arnt.L	Oligodendrocyte	0.0023367621339861477
arnt.L	Osteoclast	0.0020645271879926597
arnt.L	Pit cell	0.006232763669116292
arnt.L	Proximal tubule cell	0.018863868088637714
arnt.L	Smooth muscle cell	0.010114761129814465
arnt.L	Stomach parietal cell	0.009338331089361551
arnt.L	Stromal cell	0.017462903893736725
arnt.L	T cell	0.014884820423813117
arnt.L	Taste cell	0.003324856980935653
arnt.L	Thick Ascending Limb	0.003477143252611059
arnt.L	Unknown	0.010798799138829973
arnt2.L	Acinar cell	-2.8209093505537908e-08
arnt2.L	Antigen presentation cell	-2.82084620106815e-08
arnt2.L	B cell	-2.82084033909058e-08
arnt2.L	Cardiomyocytes	0.0012942642893388756
arnt2.L	Chondrocyte	0.0007247981276662374
arnt2.L	Ciliated cell	0.004700444995730191
arnt2.L	Collecting duct intercalated cell	0.0051470015060670615
arnt2.L	Endocrine cell	0.010051749352696926
arnt2.L	Endothelial cell	0.0007014667968419097
arnt2.L	Enterocyte	0.0006118220134836427
arnt2.L	Eosinophil	-2.820807964987182e-08
arnt2.L	Epidermal stem cell	-2.8200559221147614e-08
arnt2.L	Epithelial cell	0.001230251203895194
arnt2.L	Erythrocyte	-2.8208163138643272e-08
arnt2.L	Fast skeletal muscle cell	-2.8209181657246063e-08
arnt2.L	Fibroblast	0.0033240671050882575
arnt2.L	Hepatocyte	0.0025319461610548988
arnt2.L	Macrophage	-2.82064556156314e-08
arnt2.L	Melanocyte	-2.8208331004364595e-08
arnt2.L	Muscle satellite cell	-2.8207309821226545e-08
arnt2.L	Neuron	0.04463105972801107
arnt2.L	Oligodendrocyte	0.010412707253509068
arnt2.L	Osteoclast	-2.8209208746687864e-08
arnt2.L	Pit cell	0.010235545418195158
arnt2.L	Proximal tubule cell	0.0012912949060537304
arnt2.L	Smooth muscle cell	0.0008371646630490615
arnt2.L	Stomach parietal cell	0.005697411655389062
arnt2.L	Stromal cell	0.0007860756822015702
arnt2.L	T cell	-2.820480338172615e-08
arnt2.L	Taste cell	-2.820906197520401e-08
arnt2.L	Thick Ascending Limb	0.03440343846716443
arnt2.L	Unknown	-2.8207542968061716e-08
arx.L	Acinar cell	-1.2362063595006134e-08
arx.L	Antigen presentation cell	-1.2361431878105122e-08
arx.L	B cell	-1.2361373258329422e-08
arx.L	Cardiomyocytes	0.002047445058580677
arx.L	Chondrocyte	-1.2358651879651461e-08
arx.L	Ciliated cell	-1.2362090240358725e-08
arx.L	Collecting duct intercalated cell	-1.236102420421048e-08
arx.L	Endocrine cell	0.12599302960161873
arx.L	Endothelial cell	-1.2359630874314576e-08
arx.L	Enterocyte	-1.234614033229775e-08
arx.L	Eosinophil	-1.2361049739340046e-08
arx.L	Epidermal stem cell	0.00036889989982724636
arx.L	Epithelial cell	0.00037108555971865353
arx.L	Erythrocyte	-1.2361133228111498e-08
arx.L	Fast skeletal muscle cell	-1.2362151524669684e-08
arx.L	Fibroblast	0.0005454177503776414
arx.L	Hepatocyte	-1.2360193091254246e-08
arx.L	Macrophage	0.0011726049938163285
arx.L	Melanocyte	-1.2361300871788217e-08
